Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2017-01,0.655,0.901,3.75,0.519,3.019
2017-02,0.6552631579,0.8673684211,3.75,0.5263157895,3.032105263
2017-03,0.7865217391,0.9771428571,3.880434783,0.747826087,3.081304348
2017-04,0.906,1.028947368,4,0.8084210526,2.941578947
2017-05,0.9063636364,1.046818182,4,0.9031818182,2.959090909
2017-06,1.041818182,1.157142857,4.136363636,0.9990909091,2.796363636
2017-07,1.1555,1.224,4.25,1.0865,2.884
2017-08,1.156086957,1.245217391,4.25,1.032173913,2.795217391
2017-09,1.155,1.251578947,4.25,1.0465,2.7765
2017-10,1.155714286,1.257619048,4.25,1.093333333,2.878095238
2017-11,1.155714286,1.321052632,4.25,1.25047619,2.801904762
2017-12,1.2985,1.539,4.3875,1.3415,2.768
