Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2011-01,0.173,0.2575,3.25,0.152,4.523
2011-02,0.1578947368,0.2515789474,3.25,0.1321052632,4.652105263
2011-03,0.1382608696,0.2334782609,3.25,0.1004347826,4.513913043
2011-04,0.09571428571,0.223,3.25,0.0585,4.5015
2011-05,0.09333333333,0.18,3.25,0.04095238095,4.293333333
2011-06,0.09090909091,0.1668181818,3.25,0.03727272727,4.232727273
2011-07,0.068,0.169,3.25,0.0375,4.2705
2011-08,0.09782608696,0.207826087,3.25,0.02434782609,3.651304348
2011-09,0.08380952381,0.2195,3.25,0.01380952381,3.182380952
2011-10,0.072,0.2365,3.25,0.019,3.128
2011-11,0.082,0.2075,3.25,0.014,3.0155
2011-12,0.07142857143,0.1761904762,3.25,0.01142857143,2.982380952
