Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2018-01,1.416190476,1.626666667,4.5,1.432380952,2.877619048
2018-02,1.416315789,1.777894737,4.5,1.587894737,3.131052632
2018-03,1.505454545,2.081363636,4.579545455,1.726666667,3.091428571
2018-04,1.692380952,2.19952381,4.75,1.788095238,3.071904762
2018-05,1.7,2.158636364,4.75,1.899545455,3.131818182
2018-06,1.820952381,2.186190476,4.892857143,1.935238095,3.05
2018-07,1.91,2.168571429,5,1.994761905,3.006666667
2018-08,1.914782609,2.193043478,5,2.072608696,3.04173913
2018-09,1.948947368,2.243157895,5.026315789,2.165263158,3.151052632
2018-10,2.188181818,2.374545455,5.25,2.293181818,3.339545455
2018-11,2.199,2.559473684,5.25,2.374,3.361
2018-12,2.267,2.688333333,5.3375,2.412105263,3.095789474
