Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2020-01,1.551904762,1.647,4.75,1.552380952,2.216190476
2020-02,1.583684211,1.594736842,4.75,1.544736842,1.970526316
2020-03,0.6254545455,1.352941176,3.75,0.2954545455,1.455
2020-04,0.04863636364,ND,3.25,0.1380952381,1.265238095
2020-05,0.05,0.17,3.25,0.1275,1.378
2020-06,0.07681818182,0.204,3.25,0.1595454545,1.493636364
2020-07,0.09347826087,0.1766666667,3.25,0.1268181818,1.310454545
2020-08,0.09476190476,0.1453846154,3.25,0.1042857143,1.358095238
2020-09,0.09,0.1345454545,3.25,0.1085714286,1.422857143
2020-10,0.09,0.12,3.25,0.1004761905,1.568571429
2020-11,0.08684210526,0.158,3.25,0.09105263158,1.615263158
2020-12,0.09,0.170625,3.25,0.08727272727,1.670454545
