Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2015-01,0.1165,0.16,3.25,0.0275,2.455
2015-02,0.1136842105,0.1521052632,3.25,0.01789473684,2.566315789
2015-03,0.1136363636,0.1447619048,3.25,0.02772727273,2.626363636
2015-04,0.1245454545,0.1280952381,3.25,0.02318181818,2.585909091
2015-05,0.1245,0.1505,3.25,0.0165,2.955
2015-06,0.1286363636,0.1827272727,3.25,0.015,3.111818182
2015-07,0.1304347826,0.1945454545,3.25,0.03227272727,3.066363636
2015-08,0.1419047619,0.2619047619,3.25,0.0719047619,2.855714286
2015-09,0.1352380952,0.2747619048,3.25,0.02428571429,2.952857143
2015-10,0.1242857143,0.2533333333,3.25,0.01666666667,2.888095238
2015-11,0.1189473684,0.2966666667,3.25,0.1263157895,3.03
2015-12,0.2318181818,0.5359090909,3.363636364,0.2286363636,2.97
