Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2009-01,0.157,1.100666667,3.25,0.1295,3.128
2009-02,0.2236842105,0.67,3.25,0.2952631579,3.586842105
2009-03,0.1827272727,0.6210526316,3.25,0.2159090909,3.643181818
2009-04,0.1531818182,0.483,3.25,0.1580952381,3.76
2009-05,0.1745,0.373,3.25,0.177,4.227
2009-06,0.2077272727,0.3554545455,3.25,0.1786363636,4.516363636
2009-07,0.1569565217,0.3254545455,3.25,0.1836363636,4.406818182
2009-08,0.1604761905,0.2861904762,3.25,0.1719047619,4.370952381
2009-09,0.1461904762,0.229047619,3.25,0.1233333333,4.185714286
2009-10,0.1176190476,0.2157142857,3.25,0.07428571429,4.188571429
2009-11,0.12,0.1947368421,3.25,0.05210526316,4.314736842
2009-12,0.1186363636,0.1976190476,3.25,0.05454545455,4.494090909
