Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2006-01,4.3,4.4825,7.2625,4.336,4.5715
2006-02,4.490526316,4.630526316,7.5,4.539473684,4.574210526
2006-03,4.593478261,4.787826087,7.543478261,4.627826087,4.734347826
2006-04,4.7695,4.943684211,7.75,4.721578947,5.062631579
2006-05,4.931818182,5.054545455,7.920454545,4.836363636,5.201363636
2006-06,4.997727273,5.252272727,8.022727273,4.917727273,5.154090909
2006-07,5.25,5.3705,8.25,5.0765,5.1345
2006-08,5.246086957,5.28826087,8.25,5.090434783,4.996086957
2006-09,5.2525,5.248,8.25,4.93,4.852
2006-10,5.248571429,5.235238095,8.25,5.046190476,4.854761905
2006-11,5.251578947,5.242857143,8.25,5.073333333,4.685714286
2006-12,5.237,5.2375,8.25,4.973,4.6825
