Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2016-01,0.3626315789,0.5689473684,3.5,0.2573684211,2.858421053
2016-02,0.374,0.539,3.5,0.3145,2.623
2016-03,0.3613043478,0.5517391304,3.5,0.2972727273,2.684545455
2016-04,0.3666666667,0.5452380952,3.5,0.2280952381,2.623333333
2016-05,0.3661904762,0.5676190476,3.5,0.2766666667,2.627619048
2016-06,0.3768181818,0.5545454545,3.5,0.2727272727,2.452272727
2016-07,0.3955,0.6175,3.5,0.301,2.227
2016-08,0.3956521739,0.7265217391,3.5,0.2995652174,2.26173913
2016-09,0.3947619048,0.7504761905,3.5,0.2942857143,2.35047619
2016-10,0.4025,0.72,3.5,0.3315,2.5005
2016-11,0.405,0.7084210526,3.5,0.4525,2.862
2016-12,0.5357142857,0.871,3.630952381,0.5119047619,3.113333333
