Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2008-01,3.931428571,3.699047619,6.916666667,2.82,4.33047619
2008-02,2.9625,3.0275,6,2.174,4.517
2008-03,2.602857143,2.698571429,5.642857143,1.2835,4.393
2008-04,2.267727273,2.722272727,5.238636364,1.311818182,4.443181818
2008-05,1.993333333,2.606190476,5,1.764285714,4.596190476
2008-06,2.001428571,2.702857143,5,1.89047619,4.689047619
2008-07,2.019090909,2.720909091,5,1.655,4.570909091
2008-08,1.986190476,2.75952381,5,1.752857143,4.501904762
2008-09,1.864285714,2.9125,5,1.146666667,4.269047619
2008-10,1.017272727,3.193157895,4.545454545,0.6859090909,4.173181818
2008-11,0.3872222222,1.544285714,4,0.1938888889,4.004444444
2008-12,0.1709090909,1.09,3.608695652,0.03409090909,2.87
