Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2013-01,0.1442857143,0.189047619,3.25,0.07428571429,3.08047619
2013-02,0.1421052632,0.1584210526,3.25,0.09894736842,3.165263158
2013-03,0.1461904762,0.149,3.25,0.087,3.1625
2013-04,0.145,0.1559090909,3.25,0.06,2.932727273
2013-05,0.1086363636,0.1395454545,3.25,0.04409090909,3.112727273
2013-06,0.0955,0.135,3.25,0.0505,3.4
2013-07,0.09227272727,0.1386363636,3.25,0.03545454545,3.605
2013-08,0.08272727273,0.1236363636,3.25,0.04363636364,3.757727273
2013-09,0.081,0.1135,3.25,0.016,3.787
2013-10,0.08545454545,0.1227272727,3.25,0.04727272727,3.675909091
2013-11,0.08473684211,0.1184210526,3.25,0.06789473684,3.8
2013-12,0.08619047619,0.1357142857,3.25,0.06666666667,3.889047619
