Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2012-01,0.0845,0.2633333333,3.25,0.0345,3.026
2012-02,0.105,0.2085,3.25,0.092,3.109
2012-03,0.1272727273,0.2022727273,3.25,0.08409090909,3.281363636
2012-04,0.1452380952,0.1995,3.25,0.08380952381,3.184285714
2012-05,0.1563636364,0.1995454545,3.25,0.08954545455,2.930909091
2012-06,0.1619047619,0.21,3.25,0.09142857143,2.698095238
2012-07,0.1585714286,0.2365,3.25,0.09714285714,2.59
2012-08,0.132173913,0.1908695652,3.25,0.1026086957,2.770869565
2012-09,0.1494736842,0.1684210526,3.25,0.1052631579,2.881578947
2012-10,0.1590909091,0.1872727273,3.25,0.1047619048,2.90047619
2012-11,0.161,0.209,3.25,0.0935,2.8035
2012-12,0.163,0.169,3.25,0.07,2.8835
