Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2019-01,2.4,2.591428571,5.5,2.423809524,3.035238095
2019-02,2.4,2.492631579,5.5,2.437894737,3.023684211
2019-03,2.403809524,2.478095238,5.5,2.453809524,2.977619048
2019-04,2.423181818,2.468571429,5.5,2.432857143,2.94047619
2019-05,2.392727273,2.436363636,5.5,2.403181818,2.817727273
2019-06,2.3755,2.3,5.5,2.2195,2.5745
2019-07,2.402727273,2.2245,5.5,2.145,2.572727273
2019-08,2.125,2.059090909,5.25,1.990454545,2.119090909
2019-09,2.0525,2.028421053,5.15,1.9345,2.158
2019-10,1.83,1.878181818,4.988636364,1.678636364,2.190454545
2019-11,1.552631579,1.772777778,4.75,1.572105263,2.280526316
2019-12,1.550952381,1.759444444,4.75,1.565238095,2.297619048
