Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2010-01,0.1168421053,0.1778947368,3.25,0.06157894737,4.604736842
2010-02,0.1263157895,0.2015789474,3.25,0.1089473684,4.619473684
2010-03,0.1617391304,0.2422727273,3.25,0.1504347826,4.644782609
2010-04,0.1977272727,0.3038095238,3.25,0.1622727273,4.693181818
2010-05,0.2025,0.4445,3.25,0.16,4.286
2010-06,0.1763636364,0.4586363636,3.25,0.1236363636,4.127727273
2010-07,0.1819047619,0.3728571429,3.25,0.1576190476,3.994285714
2010-08,0.1895454545,0.2704545455,3.25,0.155,3.803181818
2010-09,0.1938095238,0.250952381,3.25,0.1519047619,3.773333333
2010-10,0.1905,0.2485,3.25,0.1345,3.8725
2010-11,0.195,0.2475,3.25,0.143,4.186
2010-12,0.1834782609,0.2718181818,3.25,0.1409090909,4.417727273
